"","cue","prevalence_all","cue_corrected","nw","stimulus"
"82","sian_ChoiceDK",0.970059880239521,"sian",1,"<h2>sian</h2>"
"83","siao_ChoiceDK",0.983746792130026,"siao",1,"<h2>siao</h2>"
"84","simi_ChoiceDK",0.952095808383233,"simi",1,"<h2>simi</h2>"
"85","simidaizi_ChoiceDK",0.929854576561163,"simidaizi",1,"<h2>simidaizi</h2>"
"86","sotong_ChoiceDK",0.973481608212147,"sotong",1,"<h2>sotong</h2>"
"87","steadypompipi_ChoiceDK",0.912745936698033,"steady pompipi",2,"<h2>steady pompipi</h2>"
"88","suay_ChoiceDK",0.958939264328486,"suay",1,"<h2>suay</h2>"
"89","suka_ChoiceDK",0.946107784431138,"suka",1,"<h2>suka</h2>"
"90","sukasuka_ChoiceDK",0.958083832335329,"suka suka",2,"<h2>suka suka</h2>"
"91","tahan_ChoiceDK",0.973481608212147,"tahan",1,"<h2>tahan</h2>"
"92","talkcock_ChoiceDK",0.963216424294269,"talk cock",2,"<h2>talk cock</h2>"
"93","teh_ChoiceDK",0.947818648417451,"teh",1,"<h2>teh</h2>"
"94","tekan_ChoiceDK",0.938408896492729,"tekan",1,"<h2>tekan</h2>"
"95","towkay_ChoiceDK",0.963216424294269,"towkay",1,"<h2>towkay</h2>"
"96","ulu_ChoiceDK",0.949529512403764,"ulu",1,"<h2>ulu</h2>"
"97","vomitblood_ChoiceDK",0.948674080410607,"vomit blood",2,"<h2>vomit blood</h2>"
"98","walao_ChoiceDK",0.926432848588537,"walao",1,"<h2>walao</h2>"
"99","wayang_ChoiceDK",0.946107784431138,"wayang",1,"<h2>wayang</h2>"
"100","wheregot_ChoiceDK",0.958083832335329,"where got",2,"<h2>where got</h2>"
"101","yayapapaya_ChoiceDK",0.970059880239521,"yaya papaya",2,"<h2>yaya papaya</h2>"
"102","yourhead_ChoiceDK",0.928999144568007,"your head",2,"<h2>your head</h2>"
"103","zharbor_ChoiceDK",0.919589392643285,"zhar bor",2,"<h2>zhar bor</h2>"
