file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,question_order,cue
data_2024-09-27-22-06-59.132972_d3717m56vq,"[{""page_index"":0,""viewing_time"":1466.696},{""page_index"":1,""viewing_time"":666.6799999999998},{""page_index"":2,""viewing_time"":483.3430000000003},{""page_index"":3,""viewing_time"":666.6799999999998}]",3283.399,instructions,0,3300,0.0-0.0-0.0,NA,NA,NA
data_2024-09-27-22-06-59.132972_d3717m56vq,NA,4500.09,survey-multi-choice,1,8267,0.0-0.0-1.0,"{""gender"":""Male"",""ethnicity"":""Chinese"",""sge_speaker"":""Yes""}","[0,1,2]",NA
data_2024-09-27-22-06-59.132972_d3717m56vq,NA,5600.111999999999,survey-text,2,13900,0.0-0.0-2.0,"{""age"":""36"",""other_languages"":""chinese""}",NA,NA
data_2024-09-27-22-06-59.132972_d3717m56vq,NA,3233.3979999999992,survey-text,3,17117,0.0-0.0-3.0-0.0,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",NA,see me no up
data_2024-09-27-22-06-59.132972_d3717m56vq,NA,1516.697,survey-text,4,18634,0.0-0.0-3.0-0.1,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",NA,makan
data_2024-09-27-22-06-59.132972_d3717m56vq,NA,1083.3549999999996,survey-text,5,19734,0.0-0.0-3.0-0.2,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",NA,lagi
data_2024-09-27-22-06-59.132972_d3717m56vq,NA,1000.0200000000004,survey-text,6,20734,0.0-0.0-3.0-0.3,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",NA,shiok
data_2024-09-27-22-06-59.132972_d3717m56vq,NA,1050.0210000000006,survey-text,7,21801,0.0-0.0-3.0-0.4,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",NA,kilat
data_2024-09-27-22-06-59.132972_d3717m56vq,"[{""page_index"":0,""viewing_time"":1933.3719999999994}]",1933.3719999999992,instructions,8,23717,0.0-0.0-4.0,NA,NA,NA
