file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,question_order
data_2024-09-27-20-34-19.385193_l69o25w13r,"[{""page_index"":0,""viewing_time"":1433.362},{""page_index"":1,""viewing_time"":250.0050000000001},{""page_index"":2,""viewing_time"":166.67000000000007},{""page_index"":3,""viewing_time"":166.67000000000007}]",2016.7070000000003,instructions,0,2017,0.0-0.0-0.0,NA,NA
data_2024-09-27-20-34-19.385193_l69o25w13r,NA,2516.717,survey-multi-choice,1,5550,0.0-0.0-1.0,"{""gender"":"""",""ethnicity"":""""}","[0,1]"
data_2024-09-27-20-34-19.385193_l69o25w13r,"[{""page_index"":0,""viewing_time"":20383.741}]",20383.741,instructions,2,25917,0.0-0.0-2.0,NA,NA
